"","sample","similiraty"
"H186","H256","0.5523"
"H186","H255","0.5468"
"H186","H254","0.5493"
"H186","H253","0.553"
"H186","H252","0.5501"
"H186","H251","0.5489"
"H186","H250","0.5509"
"H186","H25","0.555"
"H186","H249","0.549"
"H186","H248","0.5612"
"H186","H247","0.5362"
"H186","H246","0.5498"
"H186","H245","0.5533"
"H186","H244","0.6702"
"H186","H243","0.6414"
"H186","H242","0.5499"
"H186","H241","0.566"
"H186","H240","0.5659"
"H186","H24","0.5576"
"H186","H239","0.5497"
"H186","H238","0.4868"
"H186","H237","0.5039"
"H186","H236","0.5559"
"H186","H235","0.5731"
"H186","H234","0.5119"
"H186","H233","0.5096"
"H186","H232","0.5164"
"H186","H231","0.7719"
"H186","H230","0.7694"
"H186","H23","0.5331"
"H186","H229","0.7733"
"H186","H228","0.5322"
"H186","H227","0.4925"
"H186","H226","0.4419"
"H186","H225","0.5646"
"H186","H224","0.5295"
"H186","H223","0.5555"
"H186","H222","0.5544"
"H186","H221","0.552"
"H186","H220","0.5833"
"H186","H219","0.6259"
"H186","H218","0.602"
"H186","H217","0.6675"
"H186","H216","0.667"
"H186","H215","0.6689"
"H186","H214","0.661"
"H186","H213","0.6497"
"H186","H212","0.6521"
"H186","H211","0.5484"
"H186","H210","0.5132"
"H186","H21","0.5733"
"H186","H209","0.5069"
"H186","H208","0.5599"
"H186","H207","0.507"
"H186","H206","0.4914"
"H186","H205","0.643"
"H186","H204","0.6335"
"H186","H203","0.5209"
"H186","H202","0.5156"
"H186","H201","0.5265"
"H186","H200","0.6843"
"H186","H20","0.604"
"H186","H2","0.6002"
"H186","H199","0.7149"
"H186","H198","0.7014"
"H186","H197","0.7802"
"H186","H196","0.5532"
"H186","H195","0.6134"
"H186","H194","0.6127"
"H186","H193","0.6074"
"H186","H192","0.6166"
"H186","H191","0.6421"
"H186","H190","0.6438"
"H186","H19","0.6228"
"H186","H189","0.5566"
"H186","H188","0.7681"
"H186","H187","0.7973"
"H186","H186","1"
"H186","H185","0.8217"
"H186","H184","0.7544"
"H186","H183","0.6281"
"H186","H182","0.632"
"H186","H181","0.651"
"H186","H180","0.5354"
"H186","H18","0.571"
"H186","H179","0.5487"
"H186","H178","0.5619"
"H186","H177","0.7395"
"H186","H176","0.7281"
"H186","H175","0.7293"
"H186","H174","0.6517"
"H186","H173","0.6179"
"H186","H172","0.6305"
"H186","H171","0.6279"
"H186","H170","0.64"
"H186","H17","0.5605"
"H186","H169","0.6024"
"H186","H168","0.4994"
"H186","H167","0.509"
"H186","H166","0.6614"
"H186","H165","0.7151"
"H186","H164","0.752"
"H186","H163","0.6614"
"H186","H162","0.6834"
"H186","H161","0.6843"
"H186","H160","0.7731"
"H186","H16","0.5978"
"H186","H159","0.766"
"H186","H158","0.7607"
"H186","H157","0.5599"
"H186","H156","0.5107"
"H186","H155","0.5324"
"H186","H154","0.5156"
"H186","H153","0.5902"
"H186","H152","0.5865"
"H186","H151","0.5913"
"H186","H150","0.5901"
"H186","H15","0.5855"
"H186","H149","0.5879"
"H186","H148","0.5898"
"H186","H147","0.5865"
"H186","H146","0.5049"
"H186","H145","0.5291"
"H186","H144","0.5117"
"H186","H143","0.5585"
"H186","H142","0.5775"
"H186","H141","0.5622"
"H186","H140","0.5795"
"H186","H139","0.5468"
"H186","H138","0.5412"
"H186","H136","0.5677"
"H186","H135","0.5279"
"H186","H134","0.5493"
"H186","H133","0.5578"
"H186","H132","0.4735"
"H186","H131","0.5693"
"H186","H130","0.5465"
"H186","H13","0.5771"
"H186","H129","0.6122"
"H186","H128","0.5811"
"H186","H127","0.5617"
"H186","H126","0.6123"
"H186","H125","0.5377"
"H186","H124","0.5771"
"H186","H123","0.582"
"H186","H122","0.5553"
"H186","H121","0.5431"
"H186","H120","0.6258"
"H186","H12","0.5859"
"H186","H119","0.6258"
"H186","H118","0.6255"
"H186","H117","0.6261"
"H186","H116","0.6261"
"H186","H115","0.6258"
"H186","H114","0.6262"
"H186","H113","0.6261"
"H186","H112","0.626"
"H186","H111","0.6261"
"H186","H110","0.6264"
"H186","H11","0.5841"
"H186","H109","0.6264"
"H186","H108","0.6144"
"H186","H107","0.6143"
"H186","H106","0.6146"
"H186","H105","0.6103"
"H186","H104","0.6063"
"H186","H103","0.5371"
"H186","H102","0.5886"
"H186","H101","0.5434"
"H186","H100","0.5727"
"H186","H10","0.606"
"H186","H1","0.5964"
"H185","H368","0.5884"
"H185","H367","0.5607"
"H185","H366","0.4519"
"H185","H365","0.6037"
"H185","H364","0.593"
"H185","H363","0.5457"
"H185","H362","0.5857"
"H185","H361","0.5848"
"H185","H99","0.5742"
"H185","H98","0.5473"
"H185","H97","0.5787"
"H185","H96","0.5179"
"H185","H95","0.5168"
"H185","H94","0.5165"
"H185","H93","0.5221"
"H185","H92","0.5211"
"H185","H91","0.5691"
"H185","H90","0.5596"
"H185","H9","0.579"
"H185","H89","0.5631"
"H185","H88","0.5674"
"H185","H87","0.5467"
"H185","H86","0.6686"
"H185","H85","0.5618"
"H185","H84","0.5861"
"H185","H83","0.56"
"H185","H82","0.5807"
"H185","H81","0.5807"
"H185","H8","0.5969"
"H185","H79","0.5853"
"H185","H78","0.5836"
"H185","H77","0.5546"
"H185","H76","0.5511"
"H185","H75","0.5488"
"H185","H74","0.5797"
"H185","H73","0.5795"
"H185","H72","0.5398"
"H185","H71","0.5467"
"H185","H70","0.5377"
"H185","H7","0.5967"
"H185","H69","0.5479"
"H185","H68","0.549"
"H185","H67","0.5494"
"H185","H66","0.5395"
"H185","H65","0.5833"
"H185","H64","0.553"
"H185","H63","0.5665"
"H185","H62","0.526"
"H185","H61","0.5129"
"H185","H60","0.5842"
"H185","H6","0.5802"
"H185","H59","0.5905"
"H185","H58","0.5758"
"H185","H57","0.5673"
"H185","H56","0.5953"
"H185","H55","0.5964"
"H185","H54","0.5883"
"H185","H53","0.552"
"H185","H52","0.6339"
"H185","H51","0.5497"
"H185","H50","0.5534"
"H185","H5","0.579"
"H185","H49","0.6321"
"H185","H48","0.5341"
"H185","H47","0.5873"
"H185","H46","0.5539"
"H185","H45","0.5532"
"H185","H44","0.557"
"H185","H43","0.5755"
"H185","H42","0.5572"
"H185","H41","0.5645"
"H185","H40","0.5641"
"H185","H4","0.5781"
"H185","H39","0.5781"
"H185","H38","0.5505"
"H185","H37","0.5978"
"H185","H36","0.5464"
"H185","H35","0.5622"
"H185","H34","0.5742"
"H185","H335","0.5557"
"H185","H334","0.5633"
"H185","H333","0.486"
"H185","H332","0.5061"
"H185","H331","0.5451"
"H185","H330","0.5262"
"H185","H33","0.5796"
"H185","H329","0.5685"
"H185","H328","0.4925"
"H185","H327","0.4975"
"H185","H326","0.4839"
"H185","H325","0.6322"
"H185","H324","0.5584"
"H185","H323","0.5788"
"H185","H322","0.4691"
"H185","H321","0.5852"
"H185","H320","0.6105"
"H185","H32","0.564"
"H185","H319","0.6192"
"H185","H318","0.6699"
"H185","H317","0.6392"
"H185","H316","0.4984"
"H185","H315","0.526"
"H185","H314","0.5672"
"H185","H313","0.6479"
"H185","H312","0.6481"
"H185","H311","0.5591"
"H185","H310","0.7831"
"H185","H309","0.7875"
"H185","H308","0.783"
"H185","H307","0.7857"
"H185","H306","0.7834"
"H185","H305","0.7868"
"H185","H304","0.783"
"H185","H303","0.7835"
"H185","H302","0.565"
"H185","H301","0.5536"
"H185","H300","0.5316"
"H185","H30","0.5984"
"H185","H3","0.5805"
"H185","H298","0.5566"
"H185","H297","0.5445"
"H185","H296","0.5792"
"H185","H294","0.5719"
"H185","H293","0.6484"
"H185","H292","0.5546"
"H185","H291","0.5545"
"H185","H290","0.5548"
"H185","H29","0.592"
"H185","H289","0.5475"
"H185","H288","0.5688"
"H185","H287","0.579"
"H185","H286","0.4771"
"H185","H285","0.5109"
"H185","H284","0.5634"
"H185","H283","0.556"
"H185","H282","0.5359"
"H185","H281","0.6672"
"H185","H280","0.4554"
"H185","H28","0.5933"
"H185","H279","0.5769"
"H185","H278","0.5027"
"H185","H277","0.5664"
"H185","H276","0.5637"
"H185","H275","0.6239"
"H185","H274","0.6531"
"H185","H273","0.59"
"H185","H272","0.5656"
"H185","H271","0.5747"
"H185","H270","0.5992"
"H185","H27","0.5915"
"H185","H269","0.5695"
"H185","H268","0.5681"
"H185","H267","0.5838"
"H185","H266","0.57"
"H185","H265","0.583"
"H185","H264","0.5825"
"H185","H262","0.5663"
"H185","H26","0.594"
"H185","H259","0.5474"
"H185","H258","0.5752"
"H185","H257","0.5765"
"H185","H256","0.5573"
"H185","H255","0.5628"
"H185","H254","0.5674"
"H185","H253","0.565"
"H185","H252","0.5542"
"H185","H251","0.554"
"H185","H250","0.5685"
"H185","H25","0.5583"
"H185","H249","0.564"
"H185","H248","0.5704"
"H185","H247","0.5664"
"H185","H246","0.5526"
"H185","H245","0.5681"
"H185","H244","0.6619"
"H185","H243","0.6207"
"H185","H242","0.5589"
"H185","H241","0.5852"
"H185","H240","0.5851"
"H185","H24","0.5564"
"H185","H239","0.5578"
"H185","H238","0.5081"
"H185","H237","0.5147"
"H185","H236","0.5639"
"H185","H235","0.5833"
"H185","H234","0.5257"
"H185","H233","0.5189"
"H185","H232","0.525"
"H185","H231","0.7947"
"H185","H230","0.7925"
"H185","H23","0.5471"
"H185","H229","0.7964"
"H185","H228","0.5372"
"H185","H227","0.4991"
"H185","H226","0.4654"
"H185","H225","0.5492"
"H185","H224","0.5575"
"H185","H223","0.5657"
"H185","H222","0.5622"
"H185","H221","0.5625"
"H185","H220","0.5734"
"H185","H219","0.6291"
"H185","H218","0.6182"
"H185","H217","0.6769"
"H185","H216","0.6687"
"H185","H215","0.6584"
"H185","H214","0.648"
"H185","H213","0.6499"
"H185","H212","0.6459"
"H185","H211","0.5604"
"H185","H210","0.5173"
"H185","H21","0.5427"
"H185","H209","0.4945"
"H185","H208","0.5555"
"H185","H207","0.529"
"H185","H206","0.5125"
"H185","H205","0.6238"
"H185","H204","0.6146"
"H185","H203","0.5316"
"H185","H202","0.526"
"H185","H201","0.5364"
"H185","H200","0.678"
"H185","H20","0.5609"
"H185","H2","0.5823"
"H185","H199","0.7332"
"H185","H198","0.7084"
"H185","H197","0.774"
"H185","H196","0.5694"
"H185","H195","0.6285"
"H185","H194","0.6047"
"H185","H193","0.6225"
"H185","H192","0.6481"
"H185","H191","0.664"
"H185","H190","0.6594"
"H185","H19","0.5812"
"H185","H189","0.5644"
"H185","H188","0.783"
"H185","H187","0.8372"
"H185","H186","0.8217"
"H185","H185","1"
"H185","H184","0.7848"
"H185","H183","0.647"
"H185","H182","0.6429"
"H185","H181","0.6798"
"H185","H180","0.5502"
"H185","H18","0.5591"
"H185","H179","0.5683"
"H185","H178","0.5634"
"H185","H177","0.7637"
"H185","H176","0.7319"
"H185","H175","0.7339"
"H185","H174","0.6664"
"H185","H173","0.6273"
"H185","H172","0.6586"
"H185","H171","0.6515"
"H185","H170","0.6675"
"H185","H17","0.5799"
"H185","H169","0.6049"
"H185","H168","0.5102"
"H185","H167","0.5146"
"H185","H166","0.6655"
"H185","H165","0.7207"
"H185","H164","0.7747"
"H185","H163","0.6745"
"H185","H162","0.6751"
"H185","H161","0.6777"
"H185","H160","0.7955"
"H185","H16","0.5854"
"H185","H159","0.7879"
"H185","H158","0.7839"
"H185","H157","0.5709"
"H185","H156","0.5481"
"H185","H155","0.5439"
"H185","H154","0.5336"
"H185","H153","0.5785"
"H185","H152","0.5797"
"H185","H151","0.5816"
"H185","H150","0.5847"
"H185","H15","0.5858"
"H185","H149","0.5835"
"H185","H148","0.5848"
"H185","H147","0.577"
"H185","H146","0.5095"
"H185","H145","0.5407"
"H185","H144","0.5347"
"H185","H143","0.5606"
"H185","H142","0.5616"
"H185","H141","0.5772"
"H185","H140","0.5861"
"H185","H139","0.5621"
"H185","H138","0.5573"
"H185","H136","0.5869"
"H185","H135","0.5521"
"H185","H134","0.5617"
"H185","H133","0.5643"
"H185","H132","0.4878"
"H185","H131","0.5613"
"H185","H130","0.5711"
"H185","H13","0.5692"
"H185","H129","0.5978"
"H185","H128","0.5808"
"H185","H127","0.5666"
"H185","H126","0.6006"
"H185","H125","0.5527"
"H185","H124","0.5791"
"H185","H123","0.5733"
"H185","H122","0.5678"
"H185","H121","0.5521"
"H185","H120","0.5967"
"H185","H12","0.5627"
"H185","H119","0.5968"
"H185","H118","0.5964"
"H185","H117","0.5975"
"H185","H116","0.5971"
"H185","H115","0.597"
"H185","H114","0.5972"
"H185","H113","0.597"
"H185","H112","0.5969"
"H185","H111","0.597"
"H185","H110","0.5971"
"H185","H11","0.5621"
"H185","H109","0.5973"
"H185","H108","0.5938"
"H185","H107","0.5939"
"H185","H106","0.5942"
"H185","H105","0.5944"
"H185","H104","0.5956"
"H185","H103","0.56"
"H185","H102","0.5792"
"H185","H101","0.5576"
"H185","H100","0.6108"
"H185","H10","0.5806"
"H185","H1","0.5825"
"H184","H368","0.578"
"H184","H367","0.5653"
"H184","H366","0.4593"
"H184","H365","0.5958"
"H184","H364","0.6047"
"H184","H363","0.5598"
"H184","H362","0.5765"
"H184","H361","0.5759"
"H184","H99","0.5842"
"H184","H98","0.5531"
"H184","H97","0.579"
"H184","H96","0.5212"
"H184","H95","0.5216"
"H184","H94","0.5213"
"H184","H93","0.5299"
"H184","H92","0.5274"
"H184","H91","0.5768"
"H184","H90","0.5801"
"H184","H9","0.5694"
"H184","H89","0.5721"
"H184","H88","0.5742"
"H184","H87","0.5485"
"H184","H86","0.6629"
"H184","H85","0.5904"
"H184","H84","0.5674"
"H184","H83","0.5668"
"H184","H82","0.5964"
"H184","H81","0.5967"
"H184","H8","0.5694"
"H184","H79","0.5873"
"H184","H78","0.5822"
"H184","H77","0.5549"
"H184","H76","0.555"
"H184","H75","0.5494"
"H184","H74","0.5946"
"H184","H73","0.5935"
"H184","H72","0.5672"
"H184","H71","0.5668"
"H184","H70","0.5589"
"H184","H7","0.5692"
"H184","H69","0.5652"
"H184","H68","0.5684"
"H184","H67","0.5704"
"H184","H66","0.5551"
"H184","H65","0.6358"
"H184","H64","0.5663"
"H184","H63","0.597"
"H184","H62","0.531"
"H184","H61","0.5302"
"H184","H60","0.5763"
"H184","H6","0.5704"
"H184","H59","0.5443"
"H184","H58","0.5505"
"H184","H57","0.5609"
"H184","H56","0.5693"
"H184","H55","0.5719"
"H184","H54","0.5725"
"H184","H53","0.5727"
"H184","H52","0.675"
"H184","H51","0.5599"
"H184","H50","0.5719"
"H184","H5","0.5709"
"H184","H49","0.6745"
"H184","H48","0.5307"
"H184","H47","0.5724"
"H184","H46","0.5765"
"H184","H45","0.5569"
"H184","H44","0.5556"
"H184","H43","0.5664"
"H184","H42","0.5717"
"H184","H41","0.5847"
"H184","H40","0.586"
"H184","H4","0.5688"
"H184","H39","0.5941"
"H184","H38","0.581"
"H184","H37","0.5698"
"H184","H36","0.5641"
"H184","H35","0.5801"
"H184","H34","0.5939"
"H184","H335","0.5472"
"H184","H334","0.5676"
"H184","H333","0.4869"
"H184","H332","0.5109"
"H184","H331","0.5594"
"H184","H330","0.5342"
"H184","H33","0.5791"
"H184","H329","0.57"
"H184","H328","0.5041"
"H184","H327","0.517"
"H184","H326","0.4895"
"H184","H325","0.6318"
"H184","H324","0.5655"
"H184","H323","0.5917"
"H184","H322","0.4769"
"H184","H321","0.5797"
"H184","H320","0.6173"
"H184","H32","0.5688"
"H184","H319","0.6168"
"H184","H318","0.6806"
"H184","H317","0.6691"
"H184","H316","0.5158"
"H184","H315","0.5393"
"H184","H314","0.5783"
"H184","H313","0.6375"
"H184","H312","0.6372"
"H184","H311","0.5738"
"H184","H310","0.7726"
"H184","H309","0.7759"
"H184","H308","0.7717"
"H184","H307","0.7747"
"H184","H306","0.7738"
"H184","H305","0.7765"
"H184","H304","0.7728"
"H184","H303","0.7725"
"H184","H302","0.5608"
"H184","H301","0.5609"
"H184","H300","0.5379"
"H184","H30","0.588"
"H184","H3","0.5711"
"H184","H298","0.5549"
"H184","H297","0.5383"
"H184","H296","0.616"
"H184","H294","0.5839"
"H184","H293","0.6364"
"H184","H292","0.5473"
"H184","H291","0.5471"
"H184","H290","0.5477"
"H184","H29","0.5748"
"H184","H289","0.5611"
"H184","H288","0.5741"
"H184","H287","0.5848"
"H184","H286","0.4917"
"H184","H285","0.5294"
"H184","H284","0.5642"
"H184","H283","0.5645"
"H184","H282","0.5455"
"H184","H281","0.7591"
"H184","H280","0.4788"
"H184","H28","0.578"
"H184","H279","0.5697"
"H184","H278","0.5282"
"H184","H277","0.568"
"H184","H276","0.5663"
"H184","H275","0.6338"
"H184","H274","0.6502"
"H184","H273","0.61"
"H184","H272","0.5766"
"H184","H271","0.573"
"H184","H270","0.6024"
"H184","H27","0.5749"
"H184","H269","0.5863"
"H184","H268","0.5963"
"H184","H267","0.5966"
"H184","H266","0.5828"
"H184","H265","0.5906"
"H184","H264","0.5833"
"H184","H262","0.5736"
"H184","H26","0.5886"
"H184","H259","0.5577"
"H184","H258","0.5787"
"H184","H257","0.5773"
"H184","H256","0.5618"
"H184","H255","0.5676"
"H184","H254","0.5752"
"H184","H253","0.5777"
"H184","H252","0.5694"
"H184","H251","0.57"
"H184","H250","0.5718"
"H184","H25","0.5603"
"H184","H249","0.5786"
"H184","H248","0.5919"
"H184","H247","0.5774"
"H184","H246","0.5567"
"H184","H245","0.5649"
"H184","H244","0.6366"
"H184","H243","0.6421"
"H184","H242","0.5545"
"H184","H241","0.5751"
"H184","H240","0.5739"
"H184","H24","0.5612"
"H184","H239","0.5538"
"H184","H238","0.5266"
"H184","H237","0.5286"
"H184","H236","0.5766"
"H184","H235","0.564"
"H184","H234","0.5387"
"H184","H233","0.5298"
"H184","H232","0.535"
"H184","H231","0.7822"
"H184","H230","0.7812"
"H184","H23","0.5489"
"H184","H229","0.7854"
"H184","H228","0.549"
"H184","H227","0.5214"
"H184","H226","0.4753"
"H184","H225","0.5463"
"H184","H224","0.5411"
"H184","H223","0.5849"
"H184","H222","0.5834"
"H184","H221","0.5801"
"H184","H220","0.5488"
"H184","H219","0.6127"
"H184","H218","0.6439"
"H184","H217","0.6533"
"H184","H216","0.6627"
"H184","H215","0.6356"
"H184","H214","0.6257"
"H184","H213","0.6514"
"H184","H212","0.627"
"H184","H211","0.5608"
"H184","H210","0.5242"
"H184","H21","0.5092"
"H184","H209","0.5026"
"H184","H208","0.5742"
"H184","H207","0.5283"
"H184","H206","0.5144"
"H184","H205","0.637"
"H184","H204","0.636"
"H184","H203","0.5384"
"H184","H202","0.5333"
"H184","H201","0.5487"
"H184","H200","0.6773"
"H184","H20","0.5523"
"H184","H2","0.5711"
"H184","H199","0.7125"
"H184","H198","0.6957"
"H184","H197","0.7354"
"H184","H196","0.5746"
"H184","H195","0.6653"
"H184","H194","0.6208"
"H184","H193","0.6484"
"H184","H192","0.6503"
"H184","H191","0.6318"
"H184","H190","0.6574"
"H184","H19","0.5801"
"H184","H189","0.5625"
"H184","H188","0.7422"
"H184","H187","0.7276"
"H184","H186","0.7544"
"H184","H185","0.7848"
"H184","H184","1"
"H184","H183","0.6284"
"H184","H182","0.6246"
"H184","H181","0.6683"
"H184","H180","0.5324"
"H184","H18","0.5497"
"H184","H179","0.576"
"H184","H178","0.5722"
"H184","H177","0.7353"
"H184","H176","0.6956"
"H184","H175","0.6959"
"H184","H174","0.6288"
"H184","H173","0.6246"
"H184","H172","0.6761"
"H184","H171","0.6225"
"H184","H170","0.6578"
"H184","H17","0.5819"
"H184","H169","0.615"
"H184","H168","0.5213"
"H184","H167","0.5247"
"H184","H166","0.6767"
"H184","H165","0.7085"
"H184","H164","0.7465"
"H184","H163","0.6513"
"H184","H162","0.6629"
"H184","H161","0.6576"
"H184","H160","0.7845"
"H184","H16","0.5862"
"H184","H159","0.7786"
"H184","H158","0.7701"
"H184","H157","0.5764"
"H184","H156","0.5442"
"H184","H155","0.5462"
"H184","H154","0.5327"
"H184","H153","0.5678"
"H184","H152","0.5681"
"H184","H151","0.5762"
"H184","H150","0.5721"
"H184","H15","0.5881"
"H184","H149","0.5726"
"H184","H148","0.5734"
"H184","H147","0.5721"
"H184","H146","0.5258"
"H184","H145","0.5552"
"H184","H144","0.549"
"H184","H143","0.5798"
"H184","H142","0.5758"
"H184","H141","0.5807"
"H184","H140","0.5857"
"H184","H139","0.5733"
"H184","H138","0.5624"
"H184","H136","0.5935"
"H184","H135","0.5572"
"H184","H134","0.5777"
"H184","H133","0.5756"
"H184","H132","0.5056"
"H184","H131","0.5587"
"H184","H130","0.5642"
"H184","H13","0.5722"
"H184","H129","0.5804"
"H184","H128","0.5695"
"H184","H127","0.5896"
"H184","H126","0.5877"
"H184","H125","0.5535"
"H184","H124","0.5525"
"H184","H123","0.5605"
"H184","H122","0.5711"
"H184","H121","0.5676"
"H184","H120","0.57"
"H184","H12","0.5695"
"H184","H119","0.5698"
"H184","H118","0.5694"
"H184","H117","0.5705"
"H184","H116","0.5701"
"H184","H115","0.5702"
"H184","H114","0.5702"
"H184","H113","0.57"
"H184","H112","0.5699"
"H184","H111","0.57"
"H184","H110","0.5701"
"H184","H11","0.5703"
"H184","H109","0.5703"
"H184","H108","0.5738"
"H184","H107","0.5739"
"H184","H106","0.5739"
"H184","H105","0.5798"
"H184","H104","0.5788"
"H184","H103","0.5639"
"H184","H102","0.5927"
"H184","H101","0.5616"
"H184","H100","0.6513"
"H184","H10","0.5548"
"H184","H1","0.5699"
"H183","H368","0.5808"
"H183","H367","0.5628"
"H183","H366","0.4835"
"H183","H365","0.5951"
"H183","H364","0.5621"
"H183","H363","0.5496"
"H183","H362","0.5778"
"H183","H361","0.5764"
"H183","H99","0.5602"
"H183","H98","0.5578"
"H183","H97","0.5616"
"H183","H96","0.5108"
"H183","H95","0.5087"
"H183","H94","0.5077"
"H183","H93","0.5118"
"H183","H92","0.5105"
"H183","H91","0.548"
"H183","H90","0.548"
"H183","H9","0.5522"
"H183","H89","0.5653"
"H183","H88","0.5642"
"H183","H87","0.5398"
"H183","H86","0.648"
"H183","H85","0.5627"
"H183","H84","0.5706"
"H183","H83","0.5583"
"H183","H82","0.5618"
"H183","H81","0.5625"
"H183","H8","0.553"
"H183","H79","0.5761"
"H183","H78","0.5575"
"H183","H77","0.5439"
"H183","H76","0.5419"
"H183","H75","0.5228"
"H183","H74","0.562"
"H183","H73","0.5616"
"H183","H72","0.5514"
"H183","H71","0.5533"
"H183","H70","0.5541"
"H183","H7","0.5527"
"H183","H69","0.5594"
"H183","H68","0.5647"
"H183","H67","0.5633"
"H183","H66","0.5448"
"H183","H65","0.552"
"H183","H64","0.5389"
"H183","H63","0.5306"
"H183","H62","0.5079"
"H183","H61","0.5048"
"H183","H60","0.5806"
"H183","H6","0.5497"
"H183","H59","0.6062"
"H183","H58","0.5487"
"H183","H57","0.5481"
"H183","H56","0.5512"
"H183","H55","0.5542"
"H183","H54","0.5538"
"H183","H53","0.5489"
"H183","H52","0.5477"
"H183","H51","0.5272"
"H183","H50","0.5614"
"H183","H5","0.5477"
"H183","H49","0.5499"
"H183","H48","0.5246"
"H183","H47","0.5783"
"H183","H46","0.5521"
"H183","H45","0.5358"
"H183","H44","0.5664"
"H183","H43","0.5772"
"H183","H42","0.5472"
"H183","H41","0.5526"
"H183","H40","0.5572"
"H183","H4","0.5464"
"H183","H39","0.5615"
"H183","H38","0.5411"
"H183","H37","0.5576"
"H183","H36","0.5903"
"H183","H35","0.5629"
"H183","H34","0.566"
"H183","H335","0.5347"
"H183","H334","0.5886"
"H183","H333","0.4921"
"H183","H332","0.5517"
"H183","H331","0.5327"
"H183","H330","0.4991"
"H183","H33","0.5483"
"H183","H329","0.6052"
"H183","H328","0.5497"
"H183","H327","0.5301"
"H183","H326","0.5461"
"H183","H325","0.7421"
"H183","H324","0.617"
"H183","H323","0.6012"
"H183","H322","0.504"
"H183","H321","0.6053"
"H183","H320","0.6878"
"H183","H32","0.5473"
"H183","H319","0.702"
"H183","H318","0.619"
"H183","H317","0.6095"
"H183","H316","0.5393"
"H183","H315","0.5426"
"H183","H314","0.5697"
"H183","H313","0.75"
"H183","H312","0.7506"
"H183","H311","0.5351"
"H183","H310","0.7328"
"H183","H309","0.7334"
"H183","H308","0.7284"
"H183","H307","0.7275"
"H183","H306","0.7298"
"H183","H305","0.7377"
"H183","H304","0.7302"
"H183","H303","0.7288"
"H183","H302","0.5361"
"H183","H301","0.5499"
"H183","H300","0.5101"
"H183","H30","0.5889"
"H183","H3","0.5495"
"H183","H298","0.5529"
"H183","H297","0.5467"
"H183","H296","0.5519"
"H183","H294","0.5531"
"H183","H293","0.7496"
"H183","H292","0.5678"
"H183","H291","0.5681"
"H183","H290","0.5684"
"H183","H29","0.5777"
"H183","H289","0.5505"
"H183","H288","0.5452"
"H183","H287","0.5651"
"H183","H286","0.5235"
"H183","H285","0.549"
"H183","H284","0.543"
"H183","H283","0.5552"
"H183","H282","0.5504"
"H183","H281","0.5482"
"H183","H280","0.4746"
"H183","H28","0.5809"
"H183","H279","0.5743"
"H183","H278","0.5212"
"H183","H277","0.5503"
"H183","H276","0.5538"
"H183","H275","0.7048"
"H183","H274","0.7405"
"H183","H273","0.5728"
"H183","H272","0.5594"
"H183","H271","0.5627"
"H183","H270","0.5685"
"H183","H27","0.5803"
"H183","H269","0.5653"
"H183","H268","0.5671"
"H183","H267","0.5695"
"H183","H266","0.5598"
"H183","H265","0.5618"
"H183","H264","0.5625"
"H183","H262","0.5514"
"H183","H26","0.5714"
"H183","H259","0.5484"
"H183","H258","0.55"
"H183","H257","0.5618"
"H183","H256","0.568"
"H183","H255","0.5554"
"H183","H254","0.5506"
"H183","H253","0.5498"
"H183","H252","0.5591"
"H183","H251","0.5517"
"H183","H250","0.5525"
"H183","H25","0.5672"
"H183","H249","0.5632"
"H183","H248","0.5622"
"H183","H247","0.5382"
"H183","H246","0.5414"
"H183","H245","0.5469"
"H183","H244","0.7571"
"H183","H243","0.7222"
"H183","H242","0.5338"
"H183","H241","0.5762"
"H183","H240","0.5753"
"H183","H24","0.5604"
"H183","H239","0.5331"
"H183","H238","0.5437"
"H183","H237","0.513"
"H183","H236","0.5629"
"H183","H235","0.5468"
"H183","H234","0.566"
"H183","H233","0.5592"
"H183","H232","0.5612"
"H183","H231","0.7313"
"H183","H230","0.7296"
"H183","H23","0.5436"
"H183","H229","0.7312"
"H183","H228","0.5425"
"H183","H227","0.529"
"H183","H226","0.4939"
"H183","H225","0.5839"
"H183","H224","0.5349"
"H183","H223","0.562"
"H183","H222","0.5594"
"H183","H221","0.554"
"H183","H220","0.5428"
"H183","H219","0.6369"
"H183","H218","0.595"
"H183","H217","0.6606"
"H183","H216","0.6734"
"H183","H215","0.6733"
"H183","H214","0.6672"
"H183","H213","0.6773"
"H183","H212","0.6814"
"H183","H211","0.5627"
"H183","H210","0.5602"
"H183","H21","0.545"
"H183","H209","0.5335"
"H183","H208","0.5448"
"H183","H207","0.5353"
"H183","H206","0.4902"
"H183","H205","0.7265"
"H183","H204","0.7204"
"H183","H203","0.5646"
"H183","H202","0.5591"
"H183","H201","0.5724"
"H183","H200","0.7689"
"H183","H20","0.5396"
"H183","H2","0.5504"
"H183","H199","0.7125"
"H183","H198","0.6735"
"H183","H197","0.698"
"H183","H196","0.5478"
"H183","H195","0.5978"
"H183","H194","0.5943"
"H183","H193","0.6082"
"H183","H192","0.6061"
"H183","H191","0.6176"
"H183","H190","0.6353"
"H183","H19","0.5563"
"H183","H189","0.5614"
"H183","H188","0.6266"
"H183","H187","0.6135"
"H183","H186","0.6281"
"H183","H185","0.647"
"H183","H184","0.6284"
"H183","H183","1"
"H183","H182","0.927"
"H183","H181","0.8964"
"H183","H180","0.5455"
"H183","H18","0.5422"
"H183","H179","0.5459"
