"","sample","similiraty"
"H367","H231","0.5573"
"H367","H230","0.5578"
"H367","H23","0.6619"
"H367","H229","0.5569"
"H367","H228","0.5632"
"H367","H227","0.5295"
"H367","H226","0.4942"
"H367","H225","0.608"
"H367","H224","0.6129"
"H367","H223","0.6784"
"H367","H222","0.6822"
"H367","H221","0.6684"
"H367","H220","0.6419"
"H367","H219","0.556"
"H367","H218","0.5667"
"H367","H217","0.5455"
"H367","H216","0.5509"
"H367","H215","0.5656"
"H367","H214","0.552"
"H367","H213","0.558"
"H367","H212","0.5587"
"H367","H211","0.6573"
"H367","H210","0.5692"
"H367","H21","0.6602"
"H367","H209","0.5614"
"H367","H208","0.6563"
"H367","H207","0.5609"
"H367","H206","0.5246"
"H367","H205","0.5634"
"H367","H204","0.5702"
"H367","H203","0.587"
"H367","H202","0.5779"
"H367","H201","0.5911"
"H367","H200","0.5541"
"H367","H20","0.6605"
"H367","H2","0.7326"
"H367","H199","0.549"
"H367","H198","0.5399"
"H367","H197","0.5741"
"H367","H196","0.6218"
"H367","H195","0.5521"
"H367","H194","0.5413"
"H367","H193","0.5489"
"H367","H192","0.5343"
"H367","H191","0.5377"
"H367","H190","0.5583"
"H367","H19","0.6666"
"H367","H189","0.6464"
"H367","H188","0.5441"
"H367","H187","0.5666"
"H367","H186","0.5702"
"H367","H185","0.5607"
"H367","H184","0.5653"
"H367","H183","0.5628"
"H367","H182","0.5567"
"H367","H181","0.5716"
"H367","H180","0.5962"
"H367","H18","0.6821"
"H367","H179","0.6322"
"H367","H178","0.6341"
"H367","H177","0.5506"
"H367","H176","0.5589"
"H367","H175","0.5602"
"H367","H174","0.5588"
"H367","H173","0.5442"
"H367","H172","0.5361"
"H367","H171","0.5176"
"H367","H170","0.5565"
"H367","H17","0.6356"
"H367","H169","0.5928"
"H367","H168","0.5565"
"H367","H167","0.5593"
"H367","H166","0.5448"
"H367","H165","0.5534"
"H367","H164","0.5538"
"H367","H163","0.5338"
"H367","H162","0.542"
"H367","H161","0.5424"
"H367","H160","0.5581"
"H367","H16","0.7723"
"H367","H159","0.558"
"H367","H158","0.5587"
"H367","H157","0.6322"
"H367","H156","0.5594"
"H367","H155","0.5974"
"H367","H154","0.578"
"H367","H153","0.6941"
"H367","H152","0.703"
"H367","H151","0.7003"
"H367","H150","0.6919"
"H367","H15","0.6981"
"H367","H149","0.7008"
"H367","H148","0.6933"
"H367","H147","0.6959"
"H367","H146","0.5092"
"H367","H145","0.5928"
"H367","H144","0.5684"
"H367","H143","0.6468"
"H367","H142","0.6943"
"H367","H141","0.6395"
"H367","H140","0.6154"
"H367","H139","0.5875"
"H367","H138","0.6128"
"H367","H136","0.6282"
"H367","H135","0.5895"
"H367","H134","0.5688"
"H367","H133","0.5443"
"H367","H132","0.5055"
"H367","H131","0.6227"
"H367","H130","0.6534"
"H367","H13","0.9204"
"H367","H129","0.6971"
"H367","H128","0.6958"
"H367","H127","0.6546"
"H367","H126","0.6689"
"H367","H125","0.6403"
"H367","H124","0.6501"
"H367","H123","0.6449"
"H367","H122","0.6241"
"H367","H121","0.6317"
"H367","H120","0.739"
"H367","H12","0.7076"
"H367","H119","0.7389"
"H367","H118","0.7388"
"H367","H117","0.739"
"H367","H116","0.7393"
"H367","H115","0.739"
"H367","H114","0.7391"
"H367","H113","0.7392"
"H367","H112","0.7394"
"H367","H111","0.7392"
"H367","H110","0.7393"
"H367","H11","0.7041"
"H367","H109","0.7392"
"H367","H108","0.7561"
"H367","H107","0.7561"
"H367","H106","0.756"
"H367","H105","0.7506"
"H367","H104","0.7461"
"H367","H103","0.614"
"H367","H102","0.7021"
